id,code,name
product_code04,04,spray pequeño
product_code05,05,levantar
product_code08,08,Lote calor
product_code10,10,grupo
product_code11,11,equipar
product_code13,13,ración
product_code14,14,Disparo
product_code15,15,palo
product_code16,16,tambor de ciento quince kg
product_code17,17,tambor de cien libras
product_code18,18,tambor de cincuenta y cinco galones (US)
product_code19,19,camión cisterna
product_code20,20,contenedor de veinte pies
product_code21,21,contenedor de cuarenta pies
product_code22,22,decilitro por gramo
product_code23,23,gramo por centímetro cúbico
product_code24,24,libra teórica
product_code25,25,gramo por centímetro cuadrado
product_code26,26,tonelada real
product_code27,27,tonelada teórica
product_code28,28,kilogramo por metro cuadrado
product_code29,29,libra por mil pies cuadrados
product_code30,30,Día de potencia del caballo por tonelada métrica seca al aire.
product_code31,31,coger peso
product_code32,32,kilogramo por aire seco tonelada métrica
product_code33,33,kilopascales metros cuadrados por gramo
product_code34,34,kilopascales por milímetro
product_code35,35,mililitros por centímetro cuadrado segundo
product_code36,36,pies cúbicos por minuto por pie cuadrado
product_code37,37,onza por pie cuadrado
product_code38,38,"onzas por pie cuadrado por 0,01 pulgadas"
product_code40,40,mililitro por segundo
product_code41,41,mililitro por minuto
product_code43,43,bolsa súper a granel
product_code44,44,bolsa a granel de quinientos kg
product_code45,45,bolsa a granel de trescientos kg
product_code46,46,bolsa a granel de cincuenta libras
product_code47,47,bolsa de cincuenta libras
product_code48,48,carga de automóviles a granel
product_code53,53,kilogramos teóricos
product_code54,54,tonelada teórica
product_code56,56,sitas
product_code57,57,malla
product_code58,58,kilogramo neto
product_code59,59,parte por millón
product_code60,60,porcentaje de peso
product_code61,61,parte por billón (US)
product_code62,62,porcentaje por 1000 horas
product_code63,63,tasa de fracaso en el tiempo
product_code64,64,"libra por pulgada cuadrada, calibre"
product_code66,66,Oersted
product_code69,69,prueba de escala específica
product_code71,71,voltio amperio por libra
product_code72,72,vatio por libra
product_code73,73,amperio tum por centímetro
product_code74,74,milipascal
product_code76,76,gauss
product_code77,77,mili pulgadas
product_code78,78,kilogauss
product_code80,80,libras por pulgada cuadrada absoluta
product_code81,81,Enrique
product_code84,84,kilopound por pulgada cuadrada
product_code85,85,fuerza libra pie
product_code87,87,libra por pie cúbico
product_code89,89,equilibrio
product_code90,90,Saybold segundo universal
product_code91,91,alimenta
product_code92,92,calorías por centímetro cúbico
product_code93,93,calorías por gramo
product_code94,94,unidad
product_code95,95,veinte mil galones (US) de carros
product_code96,96,diez mil galones (US) de carros
product_code97,97,tambor de diez kg
product_code98,98,tambor de quince kg
product_code1ª,1ª,milla de coche
product_code1B,1B,recuento de coches
product_code1C,1C,recuento de locomotoras
product_code1D,1D,recuento de cabos
product_code1E,1E,carro vacio
product_code1F,1F,millas de tren
product_code1G,1G,uso de combustible galón (US)
